dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,method,budget_tag,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision
visa,pcb1,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,904,91,0.9003000259399414,0.8229166865348816,0.9946781396865845,0.7534052133560181,PatchCore,budget_010,,,,,,,
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,60,15,0.9222221970558167,0.9354838728904724,0.9885550737380981,0.5963468551635742,PatchCore,budget_025,,,,,,,
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,219,55,0.9672915935516357,0.9686098694801331,0.9891946911811829,0.5109436511993408,PatchCore,budget_025,,,,,,,
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,224,56,0.977136492729187,0.9560439586639404,0.9822272062301636,0.6276947855949402,PatchCore,budget_025,,,,,,,
visa,macaroni2,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,900,225,0.6537999510765076,0.6865671873092651,0.9661300182342529,0.08652941882610321,PatchCore,budget_025,,,,,,,
visa,capsules,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,542,136,0.7261666655540466,0.7674418687820435,0.9793152213096619,0.5997028350830078,PatchCore,budget_025,,,,,,,
visa,pcb1,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,904,226,0.9113000631332397,0.8430493474006653,0.9955813884735107,0.7689359188079834,PatchCore,budget_025,,,,,,,
mvtec_ad,cable,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.9848201274871826,0.967391312122345,0.9846956133842468,0.6395448446273804,PatchCore,budget_100,,,,,,,
mvtec_ad,capsule,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.9936178922653198,0.9814814925193787,0.9901953339576721,0.5171127915382385,PatchCore,budget_100,,,,,,,
mvtec_ad,toothbrush,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.9055555462837219,0.920634925365448,0.9888352155685425,0.5945045948028564,PatchCore,budget_100,,,,,,,
visa,capsules,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.7611666917800903,0.7753304243087769,0.983755886554718,0.6124961376190186,PatchCore,budget_100,,,,,,,
visa,macaroni2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.6661999821662903,0.6852589845657349,0.9638404250144958,0.08638589829206467,PatchCore,budget_100,,,,,,,
visa,pcb1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,,,0.9343000650405884,0.8648648858070374,0.9962365627288818,0.7683062553405762,PatchCore,budget_100,,,,,,,
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/toothbrush,,,,,16,16,4,42,0.05,60,3,0.9944443702697754,0.9655172228813171,0.987035870552063,0.5588259696960449,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/capsule,,,,,16,16,4,42,0.05,219,11,0.927004337310791,0.954954981803894,0.9853596687316895,0.48142799735069275,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/cable,,,,,16,16,4,42,0.05,224,12,0.9121063947677612,0.8613861203193665,0.9473162889480591,0.5869401097297668,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/macaroni2,,,,,16,16,4,42,0.05,900,45,0.7362500429153442,0.7312775254249573,0.9311637282371521,0.105071522295475,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/capsules,,,,,16,16,4,42,0.05,542,28,0.903166651725769,0.8820512890815735,0.9696494340896606,0.3801814615726471,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/pcb1,,,,,16,16,4,42,0.05,904,46,0.8525000810623169,0.7981220483779907,0.9918769598007202,0.705155074596405,AnomalyDINO-S,budget_005,1,dinov2_vit_small_14,False,True,False,0.1,float32
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/toothbrush,,,,,16,16,4,42,0.1,60,6,0.9888889193534851,0.9508196711540222,0.9872931241989136,0.5675526261329651,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/capsule,,,,,16,16,4,42,0.1,219,22,0.929397702217102,0.9502262473106384,0.9863955974578857,0.4889547526836395,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/cable,,,,,16,16,4,42,0.1,224,23,0.9209145307540894,0.8735632300376892,0.9503097534179688,0.5820700526237488,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/macaroni2,,,,,16,16,4,42,0.1,900,90,0.7056000232696533,0.699999988079071,0.9271286129951477,0.10795890539884567,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/capsules,,,,,16,16,4,42,0.1,542,55,0.9076666831970215,0.8700000047683716,0.972650945186615,0.3854283094406128,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/pcb1,,,,,16,16,4,42,0.1,904,91,0.8646000027656555,0.8269230723381042,0.9919594526290894,0.7173541188240051,AnomalyDINO-S,budget_010,1,dinov2_vit_small_14,False,True,False,0.1,float32
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/mvtec_ad/toothbrush,,,,,16,16,4,42,0.25,60,15,0.9888888001441956,0.9508196711540222,0.9878668785095215,0.5728970766067505,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/mvtec_ad/capsule,,,,,16,16,4,42,0.25,219,55,0.9381731152534485,0.959276020526886,0.9870395660400391,0.4892383813858032,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/mvtec_ad/cable,,,,,16,16,4,42,0.25,224,56,0.9495877623558044,0.9152542352676392,0.9597784876823425,0.6003648638725281,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/macaroni2,,,,,16,16,4,42,0.25,900,225,0.7278499603271484,0.7094017267227173,0.929185688495636,0.11172214150428772,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/capsules,,,,,16,16,4,42,0.25,542,136,0.9080000519752502,0.853210985660553,0.9756904244422913,0.41345155239105225,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/pcb1,,,,,16,16,4,42,0.25,904,226,0.900399923324585,0.8390243649482727,0.9922654628753662,0.7466882467269897,AnomalyDINO-S,budget_025,1,dinov2_vit_small_14,False,True,False,0.1,float32
mvtec_ad,cable,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/mvtec_ad/cable,,,,,16,16,4,42,1.0,,,0.9582083225250244,0.9248554706573486,0.964073657989502,0.6005331873893738,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,False,True,False,0.1,float32
mvtec_ad,capsule,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/mvtec_ad/capsule,,,,,16,16,4,42,1.0,,,0.9437574744224548,0.9629629850387573,0.9877409338951111,0.49647387862205505,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,True,True,False,0.1,float32
mvtec_ad,toothbrush,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/mvtec_ad/toothbrush,,,,,16,16,4,42,1.0,,,0.9944444298744202,0.9666666388511658,0.9882127642631531,0.5782352089881897,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,True,True,False,0.1,float32
visa,capsules,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/visa/capsules,,,,,16,16,4,42,1.0,,,0.9135000109672546,0.8717948794364929,0.9780041575431824,0.4552660286426544,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,macaroni2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/visa/macaroni2,,,,,16,16,4,42,1.0,,,0.733299970626831,0.6969696879386902,0.9366678595542908,0.1378026008605957,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,False,True,False,0.1,float32
visa,pcb1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/anomalydino/visa/pcb1,,,,,16,16,4,42,1.0,,,0.925000011920929,0.8599033951759338,0.9932602643966675,0.7499554753303528,AnomalyDINO-S,budget_100,1,dinov2_vit_small_14,False,True,False,0.1,float32
